Timestamp,Age,Primary streaming service,Hours per day,Fav genre,BPM,Anxiety,Depression,Insomnia,OCD,Music effects
8/28/2022 18:06:24,17.0,Spotify,4.0,Lofi,79.0,3.0,8.0,0.0,0.0,Improve
8/28/2022 18:08:44,16.0,Spotify,2.0,Rap,126.0,1.0,8.0,0.0,0.0,No effect
8/28/2022 18:13:47,27.0,Spotify,10.0,Metal,185.0,5.0,6.0,6.0,3.0,Improve
8/28/2022 18:17:00,53.0,Spotify,7.0,Pop,92.0,0.0,0.0,0.0,0.0,Improve
8/28/2022 18:17:46,25.0,Spotify,1.0,EDM,107.0,0.0,8.0,0.0,0.0,Improve
8/28/2022 18:18:12,34.0,Spotify,2.0,Metal,120.0,3.0,7.0,0.0,0.0,Improve
8/28/2022 18:18:18,22.0,Other streaming service,6.0,Jazz,140.0,8.0,8.0,8.0,5.0,Improve
8/28/2022 18:18:24,17.0,Spotify,2.0,Jazz,94.0,5.0,2.0,3.0,4.0,Improve
8/28/2022 18:21:19,26.0,Spotify,3.0,Folk,160.0,8.0,8.0,3.0,0.0,Improve
8/28/2022 18:28:48,19.0,Spotify,8.0,EDM,174.0,6.0,8.0,8.0,0.0,Improve
8/28/2022 18:30:21,21.0,Spotify,3.0,Pop,136.0,6.0,8.0,6.0,0.0,Worsen
8/28/2022 18:33:32,32.0,Spotify,3.0,Rock,144.0,6.0,6.0,7.0,5.0,Improve
8/28/2022 18:35:17,21.0,I do not use a streaming service.,3.0,Rock,77.0,9.0,10.0,3.0,0.0,No effect
8/28/2022 18:51:10,25.0,Spotify,2.0,Pop,120.0,7.0,7.0,5.0,0.0,Improve
8/28/2022 18:53:03,26.0,Spotify,1.0,Rock,,10.0,7.0,2.0,8.0,No effect
8/28/2022 18:54:47,21.0,Spotify,2.0,Metal,,1.0,3.0,0.0,6.0,No effect
8/28/2022 18:55:44,17.0,Spotify,2.0,Pop,,5.0,3.0,2.0,1.0,Improve
8/28/2022 18:56:54,28.0,I do not use a streaming service.,4.0,Rock,194.0,6.0,8.0,1.0,6.0,Improve
8/28/2022 18:57:39,41.0,YouTube Music,4.0,Pop,60.0,7.0,2.0,0.0,7.0,Improve
8/28/2022 18:58:09,18.0,Spotify,1.0,Metal,190.0,6.0,9.0,9.0,0.0,Improve
8/28/2022 18:58:27,22.0,Spotify,2.0,R&B,87.0,1.0,1.0,4.0,1.0,No effect
8/28/2022 18:59:40,18.0,Other streaming service,2.0,K pop,122.0,0.0,2.0,0.0,0.0,
8/28/2022 18:59:53,49.0,Other streaming service,1.0,EDM,156.0,8.0,8.0,2.0,0.0,Improve
8/28/2022 19:04:05,21.0,Spotify,3.0,Metal,150.0,3.0,3.0,7.0,0.0,No effect
8/28/2022 19:04:26,27.0,Spotify,10.0,Metal,194.0,8.0,8.0,3.0,0.0,Improve
8/28/2022 19:07:16,19.0,Spotify,1.0,Metal,160.0,6.0,4.0,0.0,3.0,No effect
8/28/2022 19:10:07,27.0,Spotify,3.0,Metal,171.0,1.0,0.0,0.0,0.0,Improve
8/28/2022 19:12:02,27.0,Spotify,1.5,Rock,95.0,5.0,5.0,4.0,4.0,Improve
8/28/2022 19:16:43,19.0,Spotify,3.0,K pop,114.0,8.0,9.0,6.0,0.0,
8/28/2022 19:18:53,42.0,YouTube Music,2.5,Rock,148.0,8.0,8.0,7.0,6.0,Improve
8/28/2022 19:20:03,60.0,Pandora,2.0,Gospel,119.0,3.0,0.0,2.0,0.0,Improve
